wavelength,n,k
220.0,1.6383914380422528,0.0003920551479451945
225.00000000000003,1.6315610302249595,0.0004010046780325833
230.00000000000003,1.625881699421703,0.00040994907662972134
235.00000000000003,1.6212519742914449,0.00041888856644259955
240.00000000000003,1.617568220359999,0.00042782342231930797
245.00000000000003,1.614724954950058,0.00043675397153759995
250.00000000000003,1.6126151367416623,0.00044568059443581215
255.0,1.6111305001443468,0.0004546037248225443
260.0,1.610161841039632,0.00046352385058862197
265.0,1.6095993315515669,0.0004724415138957321
270.0,1.6093326268716477,0.0004747550705573776
275.0,1.609167198782842,0.0003028668814109042
280.0,1.6089398653726474,0.0002443101935139376
285.0,1.610784322625158,0.00020828096084907102
290.00000000000006,1.6140903134027773,0.00017453092919689602
295.00000000000006,1.6135607293191536,0.00013273870366932713
300.00000000000006,1.609352826237425,0.00010506380535262986
305.00000000000006,1.6006416444483413,8.372812156141968e-05
310.0,1.582180437979732,6.293863603651499e-05
315.0,1.562041810311713,4.7284584768410035e-05
320.0,1.5566814953314931,3.9756479762229425e-05
325.0,1.5611910788120174,3.3922494224971384e-05
330.0,1.5493776982548852,2.225391059466485e-05
335.0,1.5567354201764982,1.841141900047181e-05
340.0,1.561364014081188,1.5607002699574415e-05
345.00000000000006,1.5559502866703134,1.2502078808816903e-05
350.00000000000006,1.5470478100305813,9.389432544984738e-06
355.00000000000006,1.5369222739236585,5.975556988825949e-06
360.00000000000006,1.5313333200084804,5.58509009023245e-06
365.0,1.5201753398212794,5.478389084058664e-06
370.0,1.5104158464345119,5.391314784966352e-06
375.0,1.5019522714355322,5.322678174866807e-06
380.0,1.494679533142955,5.2712175357275964e-06
385.0,1.4884898819553312,5.235594506121794e-06
390.0,1.4832728661009935,5.214389308778908e-06
395.00000000000006,1.4789154981453083,5.206097136923084e-06
400.00000000000006,1.4752915203743284,5.20893362456625e-06
405.00000000000006,1.4721341434928474,5.218584364072201e-06
410.00000000000006,1.4693257938433435,5.23320811521826e-06
415.00000000000006,1.4668098752743732,5.251977402333854e-06
420.0,1.4645292683449054,5.274017985793627e-06
425.0,1.4624263917364015,5.298408148090177e-06
430.0,1.4604312748259236,5.3239574830443085e-06
435.0,1.4585346020101504,5.3505536375579655e-06
440.0,1.4568004387435631,5.379455684286305e-06
445.0,1.4552940268139838,5.411992022133528e-06
450.00000000000006,1.4540808008389872,5.449544520332912e-06
455.00000000000006,1.4531983718013262,5.49300942956623e-06
460.00000000000006,1.4524181811393146,5.53811271426724e-06
465.00000000000006,1.451674002940795,5.583607442846439e-06
470.00000000000006,1.450964494472583,5.629488586437375e-06
475.0,1.4502883165157838,5.675750124227649e-06
480.00000000000006,1.4496441249024452,5.722384874328626e-06
485.0,1.449030566395622,5.769384403485987e-06
490.00000000000006,1.4484462833040173,5.816739112756068e-06
495.0,1.4478899181052491,5.864438328622687e-06
500.00000000000006,1.44736010494009,5.9124701218590634e-06
505.00000000000006,1.4468554785988375,5.960821489341491e-06
510.0,1.4463746616136115,6.009478074824135e-06
515.0,1.4459162863789439,6.058424635754115e-06
520.0,1.4454789690795173,6.1076444790145544e-06
