wavelength_nm,R,T,a,b,eta,R_as,sqrt_arg,k,n,k_isnan,k_isinf,n_isnan,n_isinf
3.75000000e+02,7.73110450e-02,9.21688955e-01,-1.84437791e-03,1.84337883e+00,8.48660984e-01,4.02500854e-02,1.74787606e-01,5.32267817e-06,1.50195227e+00,False,False,False,False
3.80000000e+02,7.55929010e-02,9.23407099e-01,-1.84781420e-03,1.84681512e+00,8.51827955e-01,3.93204389e-02,1.70420269e-01,5.27121754e-06,1.49467953e+00,False,False,False,False
3.85000000e+02,7.41362560e-02,9.24863744e-01,-1.85072749e-03,1.84972841e+00,8.54517538e-01,3.85335824e-02,1.66736676e-01,5.23559451e-06,1.48848988e+00,False,False,False,False
3.90000000e+02,7.29126760e-02,9.26087324e-01,-1.85317465e-03,1.85217558e+00,8.56780060e-01,3.78735433e-02,1.63655880e-01,5.21438931e-06,1.48327287e+00,False,False,False,False
3.95000000e+02,7.18937290e-02,9.27106271e-01,-1.85521254e-03,1.85421347e+00,8.58666478e-01,3.73245291e-02,1.61099620e-01,5.20609714e-06,1.47891550e+00,False,False,False,False
4.00000000e+02,7.10484250e-02,9.27951575e-01,-1.85690315e-03,1.85590408e+00,8.60232998e-01,3.68695150e-02,1.58985368e-01,5.20893362e-06,1.47529152e+00,False,False,False,False
4.05000000e+02,7.03135780e-02,9.28686422e-01,-1.85837284e-03,1.85737377e+00,8.61595979e-01,3.64742820e-02,1.57152075e-01,5.21858436e-06,1.47213414e+00,False,False,False,False
4.10000000e+02,6.96612550e-02,9.29338745e-01,-1.85967749e-03,1.85867842e+00,8.62806800e-01,3.61236862e-02,1.55528304e-01,5.23320812e-06,1.46932579e+00,False,False,False,False
4.15000000e+02,6.90779070e-02,9.29922093e-01,-1.86084419e-03,1.85984512e+00,8.63890312e-01,3.58103622e-02,1.54079118e-01,5.25197740e-06,1.46680988e+00,False,False,False,False
4.20000000e+02,6.85499880e-02,9.30450012e-01,-1.86190002e-03,1.86090096e+00,8.64871456e-01,3.55269729e-02,1.52769981e-01,5.27401799e-06,1.46452927e+00,False,False,False,False
4.25000000e+02,6.80639520e-02,9.30936048e-01,-1.86287210e-03,1.86187303e+00,8.65775252e-01,3.52662036e-02,1.51566672e-01,5.29840815e-06,1.46242639e+00,False,False,False,False
4.30000000e+02,6.76034880e-02,9.31396512e-01,-1.86379302e-03,1.86279396e+00,8.66631932e-01,3.50192752e-02,1.50428411e-01,5.32395748e-06,1.46043127e+00,False,False,False,False
4.35000000e+02,6.71663520e-02,9.31833648e-01,-1.86466730e-03,1.86366823e+00,8.67445602e-01,3.47849656e-02,1.49349376e-01,5.35055364e-06,1.45853460e+00,False,False,False,False
4.40000000e+02,6.67671940e-02,9.32232806e-01,-1.86546561e-03,1.86446655e+00,8.68188915e-01,3.45711051e-02,1.48365412e-01,5.37945568e-06,1.45680044e+00,False,False,False,False
4.45000000e+02,6.64208680e-02,9.32579132e-01,-1.86615826e-03,1.86515920e+00,8.68834103e-01,3.43856225e-02,1.47512708e-01,5.41199202e-06,1.45529403e+00,False,False,False,False
4.50000000e+02,6.61422250e-02,9.32857775e-01,-1.86671555e-03,1.86571648e+00,8.69353374e-01,3.42364372e-02,1.46827337e-01,5.44954452e-06,1.45408080e+00,False,False,False,False
4.55000000e+02,6.59397140e-02,9.33060286e-01,-1.86712057e-03,1.86612151e+00,8.69730865e-01,3.41280399e-02,1.46329612e-01,5.49300943e-06,1.45319837e+00,False,False,False,False
4.60000000e+02,6.57607770e-02,9.33239223e-01,-1.86747845e-03,1.86647938e+00,8.70064481e-01,3.40322799e-02,1.45890095e-01,5.53811271e-06,1.45241818e+00,False,False,False,False
4.65000000e+02,6.55901970e-02,9.33409803e-01,-1.86781961e-03,1.86682054e+00,8.70382576e-01,3.39410087e-02,1.45471341e-01,5.58360744e-06,1.45167400e+00,False,False,False,False
4.70000000e+02,6.54276530e-02,9.33572347e-01,-1.86814469e-03,1.86714563e+00,8.70685739e-01,3.38540523e-02,1.45072528e-01,5.62948859e-06,1.45096449e+00,False,False,False,False
4.75000000e+02,6.52728260e-02,9.33727174e-01,-1.86845435e-03,1.86745528e+00,8.70974559e-01,3.37712378e-02,1.44692842e-01,5.67575012e-06,1.45028832e+00,False,False,False,False
4.80000000e+02,6.51253970e-02,9.33874603e-01,-1.86874921e-03,1.86775014e+00,8.71249622e-01,3.36923927e-02,1.44331474e-01,5.72238487e-06,1.44964412e+00,False,False,False,False
4.85000000e+02,6.49850460e-02,9.34014954e-01,-1.86902991e-03,1.86803084e+00,8.71511520e-01,3.36173441e-02,1.43987615e-01,5.76938440e-06,1.44903057e+00,False,False,False,False
4.90000000e+02,6.48514530e-02,9.34148547e-01,-1.86929709e-03,1.86829803e+00,8.71760844e-01,3.35459192e-02,1.43660456e-01,5.81673911e-06,1.44844628e+00,False,False,False,False
4.95000000e+02,6.47242990e-02,9.34275701e-01,-1.86955140e-03,1.86855234e+00,8.71998184e-01,3.34779461e-02,1.43349196e-01,5.86443833e-06,1.44788992e+00,False,False,False,False
5.00000000e+02,6.46032640e-02,9.34396736e-01,-1.86979347e-03,1.86879441e+00,8.72224133e-01,3.34132524e-02,1.43053033e-01,5.91247012e-06,1.44736010e+00,False,False,False,False
5.05000000e+02,6.44880290e-02,9.34511971e-01,-1.87002394e-03,1.86902488e+00,8.72439281e-01,3.33516662e-02,1.42771169e-01,5.96082149e-06,1.44685548e+00,False,False,False,False
5.10000000e+02,6.43782730e-02,9.34621727e-01,-1.87024345e-03,1.86924439e+00,8.72644225e-01,3.32930151e-02,1.42502803e-01,6.00947807e-06,1.44637466e+00,False,False,False,False
5.15000000e+02,6.42736780e-02,9.34726322e-01,-1.87045264e-03,1.86945358e+00,8.72839554e-01,3.32371281e-02,1.42247144e-01,6.05842464e-06,1.44591629e+00,False,False,False,False
5.20000000e+02,6.41739230e-02,9.34826077e-01,-1.87065215e-03,1.86965309e+00,8.73025864e-01,3.31838329e-02,1.42003396e-01,6.10764448e-06,1.44547897e+00,False,False,False,False
5.25000000e+02,6.40786890e-02,9.34921311e-01,-1.87084262e-03,1.86984356e+00,8.73203750e-01,3.31329581e-02,1.41770767e-01,6.15711993e-06,1.44506133e+00,False,False,False,False
5.30000000e+02,6.39876570e-02,9.35012343e-01,-1.87102469e-03,1.87002562e+00,8.73373804e-01,3.30843328e-02,1.41548469e-01,6.20683216e-06,1.44466199e+00,False,False,False,False
5.35000000e+02,6.39005060e-02,9.35099494e-01,-1.87119899e-03,1.87019992e+00,8.73536623e-01,3.30377848e-02,1.41335709e-01,6.25676095e-06,1.44427956e+00,False,False,False,False
5.40000000e+02,6.38169180e-02,9.35183082e-01,-1.87136616e-03,1.87036710e+00,8.73692800e-01,3.29931438e-02,1.41131704e-01,6.30688523e-06,1.44391266e+00,False,False,False,False
5.45000000e+02,6.37365720e-02,9.35263428e-01,-1.87152686e-03,1.87052779e+00,8.73842932e-01,3.29502378e-02,1.40935662e-01,6.35718244e-06,1.44355989e+00,False,False,False,False
5.50000000e+02,6.36591500e-02,9.35340850e-01,-1.87168170e-03,1.87068264e+00,8.73987613e-01,3.29088967e-02,1.40746803e-01,6.40762919e-06,1.44321986e+00,False,False,False,False
5.55000000e+02,6.35843310e-02,9.35415669e-01,-1.87183134e-03,1.87083227e+00,8.74127442e-01,3.28689486e-02,1.40564337e-01,6.45820056e-06,1.44289118e+00,False,False,False,False
5.60000000e+02,6.35117950e-02,9.35488205e-01,-1.87197641e-03,1.87097735e+00,8.74263014e-01,3.28302225e-02,1.40387481e-01,6.50887060e-06,1.44257244e+00,False,False,False,False
5.65000000e+02,6.34412240e-02,9.35558776e-01,-1.87211755e-03,1.87111849e+00,8.74394923e-01,3.27925482e-02,1.40215456e-01,6.55961237e-06,1.44226226e+00,False,False,False,False
5.70000000e+02,6.33722980e-02,9.35627702e-01,-1.87225540e-03,1.87125634e+00,8.74523768e-01,3.27557547e-02,1.40047478e-01,6.61039758e-06,1.44195924e+00,False,False,False,False
5.75000000e+02,6.33046960e-02,9.35695304e-01,-1.87239061e-03,1.87139154e+00,8.74650147e-01,3.27196706e-02,1.39882763e-01,6.66119663e-06,1.44166196e+00,False,False,False,False
5.80000000e+02,6.32381000e-02,9.35761900e-01,-1.87252380e-03,1.87152474e+00,8.74774654e-01,3.26841259e-02,1.39720534e-01,6.71197909e-06,1.44136904e+00,False,False,False,False
5.85000000e+02,6.31721890e-02,9.35827811e-01,-1.87265562e-03,1.87165656e+00,8.74897889e-01,3.26489492e-02,1.39560007e-01,6.76271301e-06,1.44107907e+00,False,False,False,False
5.90000000e+02,6.31066450e-02,9.35893355e-01,-1.87278671e-03,1.87178765e+00,8.75020446e-01,3.26139707e-02,1.39400408e-01,6.81336562e-06,1.44079064e+00,False,False,False,False
5.95000000e+02,6.30411470e-02,9.35958853e-01,-1.87291771e-03,1.87191864e+00,8.75142926e-01,3.25790192e-02,1.39240955e-01,6.86390264e-06,1.44050235e+00,False,False,False,False
