wavelength,n,k
220.0,2.852587942989439,2.1527311871077092e-05
225.00000000000003,2.632353447782042,2.2274484995713844e-05
230.00000000000003,2.5060307223703107,2.292192124853514e-05
235.00000000000003,2.4037387359076527,2.3546663681142888e-05
240.00000000000003,2.2959208141290963,2.418371201628577e-05
245.00000000000003,2.2245337751935814,2.4779257609496886e-05
250.00000000000003,2.1730173268758746,2.5352268852537835e-05
255.0,2.1378482562413086,2.590603343590998e-05
260.0,2.112435779810156,2.6448320410589708e-05
265.0,2.0921263968775135,2.6984836039884764e-05
270.0,2.072837117186405,2.7520915847434357e-05
275.0,2.050504890990573,2.8062238026162294e-05
280.0,2.0210187401168898,2.8614891722496635e-05
285.0,1.9738869795883005,2.9194491815662257e-05
290.00000000000006,1.9162775453399865,2.9791191425433007e-05
295.00000000000006,1.8665124333278182,3.0378207035119757e-05
300.00000000000006,1.8328072019481212,3.094307385307119e-05
305.00000000000006,1.8021769278969415,3.150452534894948e-05
310.0,1.7748592108574637,3.20620501974099e-05
315.0,1.7517244530797358,3.261418721436353e-05
320.0,1.7336681313137436,3.3159404669098576e-05
325.0,1.7213591930499397,3.369646150598479e-05
330.0,1.7117422145272867,3.4229823233023865e-05
335.0,1.7034701409634265,3.476146246780845e-05
340.0,1.6963330826920382,3.5291638152725173e-05
345.00000000000006,1.6901185250028106,3.582062749061508e-05
350.00000000000006,1.6846116587327853,3.634872636518229e-05
355.00000000000006,1.6795957058837532,3.687624962695883e-05
360.00000000000006,1.6748521869467963,3.740353132366083e-05
365.0,1.6701340272638083,3.793097037725697e-05
370.0,1.6652820607930339,3.8458834992615446e-05
375.0,1.660421818543734,3.898691573494081e-05
380.0,1.6556972992999566,3.951496169491685e-05
385.0,1.6512521129276516,3.5961877446953214e-05
390.0,1.6472024265473424,2.7792475806904108e-05
395.00000000000006,1.643630224423268,2.343591894651073e-05
400.00000000000006,1.6406140494929693,2.0564101060546987e-05
405.00000000000006,1.6378079702194068,1.7313489985255994e-05
410.00000000000006,1.634455116483859,1.4291382706086877e-05
415.00000000000006,1.628444941420331,1.1486989827523488e-05
420.0,1.6182680727663086,9.286693337098535e-06
425.0,1.6074608073954568,7.925019625788881e-06
430.0,1.5955672698188221,6.865264204899995e-06
435.0,1.582475321865971,5.9639041394330774e-06
440.0,1.5659031116815798,5.035730348274432e-06
445.0,1.547555891693272,4.181922509109192e-06
450.00000000000006,1.5387622282186733,3.839334890069875e-06
455.00000000000006,1.5337113974815064,3.6676624267946744e-06
460.00000000000006,1.5295371175788148,3.5347118733836297e-06
465.00000000000006,1.524689405867905,3.375817348466175e-06
470.00000000000006,1.5198509355585574,3.2190662199850305e-06
475.0,1.5155441121003803,3.0843082258663e-06
480.00000000000006,1.5121635915202325,2.9855974461954576e-06
485.0,1.5094590362343432,2.9123819619254122e-06
490.00000000000006,1.5068710284671136,2.842933473912829e-06
495.0,1.5041271165472752,2.766816855887413e-06
500.00000000000006,1.502030663414534,2.7145818751407653e-06
505.00000000000006,1.5010348515680474,2.703541284791854e-06
510.0,1.5002417820712601,2.6997239153972324e-06
515.0,1.4995631564963006,2.699853284995575e-06
520.0,1.4989821756673534,2.703363266882558e-06
525.0,1.4984820881341552,2.7096763791486243e-06
530.0,1.4980461826124412,2.7182010599441675e-06
535.0000000000001,1.4976577809090132,2.728329468538773e-06
540.0,1.4973002319820479,2.7394358110182336e-06
545.0000000000001,1.4969569076062827,2.750875199448567e-06
550.0,1.4966111999834486,2.7619830605249143e-06
555.0000000000001,1.4962465215556575,2.7720751141550153e-06
560.0,1.4958708688863518,2.7814659211210735e-06
565.0,1.495527714911799,2.7919611129171657e-06
570.0,1.495209617438102,2.8032780525979844e-06
575.0,1.4949069767811527,2.8150336902865273e-06
580.0000000000001,1.494610204744261,2.8268335449919987e-06
585.0,1.4943097239650278,2.838271575615498e-06
590.0000000000001,1.49399596808794,2.848930250986602e-06
595.0,1.4936593828215519,2.8583808266569534e-06
600.0000000000001,1.4932850304171423,2.865946781258147e-06
605.0,1.4928726188391617,2.871582044251332e-06
610.0000000000001,1.492442204593446,2.876146496075896e-06
615.0,1.4920139747753394,2.880529229710651e-06
620.0,1.4916080817246462,2.885640844632318e-06
625.0,1.491244644546546,2.89241378233671e-06
