wavelength,n,k
505.00000000000006,1.4468554786458527,4.370447588882839e-08
510.0,1.4463746616614432,4.413719070026216e-08
515.0,1.4459162864276007,4.456990558936489e-08
520.0,1.4454789691290104,4.500262055193e-08
525.0,1.4450613318513916,4.543533558327001e-08
530.0,1.4446619940141083,4.586805067784224e-08
535.0000000000001,1.4442795637744912,4.630076583089669e-08
540.0,1.443912660136138,4.673348103632176e-08
545.0000000000001,1.4435598867793726,4.716619628803808e-08
550.0,1.443219858544452,4.7598911580078467e-08
555.0000000000001,1.4428911752216034,4.803162690529784e-08
560.0,1.4425724392334822,4.8464342257278727e-08
565.0,1.442262260144002,4.889705762831895e-08
570.0,1.4419592371746741,4.9329773011619144e-08
575.0,1.4416619636705947,4.976248839841317e-08
580.0000000000001,1.4413690447554504,5.0195203781033664e-08
585.0,1.4410790709964096,5.062791915076293e-08
590.0000000000001,1.4407906448288903,5.106063449885384e-08
595.0,1.4405023541784245,5.14933498162567e-08
600.0000000000001,1.4402127944636034,5.192606509343566e-08
605.0,1.439920559785248,5.235878032067487e-08
610.0000000000001,1.4396242340870742,5.279149548808429e-08
615.0,1.4393224087244474,5.322421058536938e-08
620.0,1.4390136735981827,5.365692560155373e-08
625.0,1.438696612667006,5.408964052569565e-08
630.0,1.4383698082550371,5.4522355346684935e-08
635.0000000000001,1.43803184093751,5.495507005301729e-08
640.0,1.437681298232735,5.538778463247148e-08
645.0000000000001,1.4373167568107112,5.582049907334363e-08
650.0,1.4369369456599654,5.625321336368153e-08
655.0000000000001,1.436564730749027,5.668592766848859e-08
660.0,1.4362151030150374,5.711864209973325e-08
665.0000000000001,1.4358852141440457,5.7551356639159526e-08
670.0,1.4355722161222062,5.798407126903026e-08
675.0,1.4352732528060483,5.8416785970280344e-08
680.0,1.4349854602615397,5.8849500723965155e-08
685.0,1.4347059803093847,5.928221550979056e-08
690.0000000000001,1.4344319474798328,5.97149303071589e-08
695.0,1.4341604891580138,6.014764509435463e-08
700.0000000000001,1.43388874336645,6.058035985047466e-08
705.0,1.4336138322330245,6.101307455178766e-08
710.0000000000001,1.4333328796340645,6.144578917585134e-08
715.0,1.4330430110751924,6.187850369886513e-08
720.0000000000001,1.4327413402103444,6.231121809623834e-08
725.0,1.4324249818568222,6.274393234261268e-08
730.0,1.4320910516589267,6.317664641303458e-08
735.0,1.43173665680897,6.360936028073464e-08
740.0,1.431358895546426,6.404207391874816e-08
745.0000000000001,1.4309548698876595,6.447478729968748e-08
750.0,1.4305216761084019,6.490750039561959e-08
755.0000000000001,1.4300563906836075,6.534021317770699e-08
760.0,1.4295465849264262,6.577292553671108e-08
765.0000000000001,1.428809528209169,6.620563592192633e-08
770.0,1.4278448911377442,6.663834429916916e-08
775.0000000000001,1.4267438910674297,6.707105141648956e-08
780.0,1.4255980233858896,6.750375804162684e-08
785.0,1.4244991301923147,6.793646496129816e-08
790.0000000000001,1.4235394058625768,6.836917297946003e-08
795.0,1.4228113219793188,6.880188292064587e-08
800.0000000000001,1.422407485966661,6.923459562721662e-08
805.0,1.42239124489928,6.96673117068453e-08
810.0000000000001,1.422651033331126,7.010003023268592e-08
815.0,1.4231492756568507,7.053275091758835e-08
820.0000000000001,1.4238689964776094,7.096547365177135e-08
825.0,1.4247931368060165,7.139819832338674e-08
830.0000000000001,1.4259045661347838,7.183092481692665e-08
835.0,1.4271861363695169,7.226365301360596e-08
840.0,1.4286206969233954,7.26963827905824e-08
845.0000000000001,1.4301911287408222,7.312911402141255e-08
850.0,1.4318803614633806,7.356184657673701e-08
855.0000000000001,1.43367138268732,7.399458032270917e-08
860.0,1.4355472747785667,7.442731512121641e-08
865.0000000000001,1.437491199589445,7.486005083019279e-08
870.0,1.4394864331121315,7.529278730411025e-08
875.0000000000001,1.4415163441142036,7.572552439264036e-08
880.0,1.4435644229737143,7.615826194116093e-08
885.0000000000001,1.4456142551319195,7.659099979099272e-08
890.0,1.447649540676326,7.702373777904659e-08
895.0,1.44965408108076,7.74564757374768e-08
900.0000000000001,1.4516117685734975,7.788921349523995e-08
905.0,1.4535065826393878,7.83219508756782e-08
910.0000000000001,1.4553225893905213,7.875468769836989e-08
915.0,1.4570439048015478,7.918742377846176e-08
920.0000000000001,1.458419482483002,7.962015644483884e-08
925.0,1.4586688838080353,8.005287733293509e-08
930.0000000000001,1.4581791737659369,8.048559036472313e-08
935.0,1.4574608425565474,8.091830089425325e-08
940.0000000000001,1.4570249668701876,8.135101438834832e-08
945.0000000000001,1.4573697206134537,8.178373628139464e-08
950.0,1.4579898216323843,8.2216461213457e-08
955.0,1.4583878970682371,8.26491837895968e-08
960.0000000000001,1.4585479444077327,8.308190379169795e-08
965.0000000000001,1.458550440930165,8.3514622068053e-08
970.0,1.458550440930165,8.394734031711028e-08
975.0,1.458550440930165,8.438005856616755e-08
980.0000000000001,1.4585504409301648,8.481277681522482e-08
985.0000000000001,1.4585504409301648,8.524549506428209e-08
990.0,1.4585504409301646,8.567821331333936e-08
995.0,1.4585504409301646,8.611093156239663e-08
1000.0000000000001,1.4585504409301644,8.65436498114539e-08
1005.0000000000001,1.4585504409301644,8.697636806051118e-08
1010.0000000000001,1.4585504409301642,8.740908630956843e-08
1015.0,1.4585504409301642,8.78418045586257e-08
1020.0,1.4585504409301642,8.827452280768296e-08
1025.0000000000002,1.458550440930164,8.870724105674025e-08
1030.0,1.458550440930164,8.913995930579752e-08
1035.0,1.4585504409301637,8.957267755485478e-08
1040.0,1.4585160536512276,9.00053953938466e-08
1045.0000000000002,1.458305630047023,9.04381111188254e-08
1050.0,1.4579296189155044,9.087082482729164e-08
1055.0,1.4574178938914049,9.130353685386945e-08
1060.0,1.4568003127095543,9.173624754128635e-08
1065.0,1.4561067780652668,9.216895723872659e-08
1070.0000000000002,1.4553672228654302,9.260166630118398e-08
1075.0,1.4546116371308595,9.303437509050912e-08
1080.0,1.4538700799255029,9.346708397445575e-08
1085.0,1.453172680412855,9.389979332905213e-08
1090.0000000000002,1.4525496103199558,9.433250353382364e-08
1095.0,1.4520311103951362,9.47652149768623e-08
1100.0,1.4516474311970953,9.519792805134209e-08
1105.0,1.4514288319956645,9.5630643159316e-08
1110.0000000000002,1.4513985714440814,9.606336061935234e-08
1115.0000000000002,1.4515033346931556,9.649607978843399e-08
1120.0,1.4517144902192323,9.692880032513725e-08
1125.0,1.4520185065434998,9.736152207484915e-08
1130.0,1.4524018563014285,9.779424488164153e-08
1135.0000000000002,1.4528510076367838,9.822696858552235e-08
1140.0,1.4533524316150959,9.86596930226973e-08
1145.0,1.4538926212504344,9.909241802680604e-08
1150.0,1.4544580829166476,9.952514342963917e-08
1155.0000000000002,1.4550353394135105,9.995786905721991e-08
1160.0000000000002,1.4556109403307425,1.0039059473506453e-07
1165.0,1.4561714579741232,1.0082332028282871e-07
1170.0,1.45670349066995,1.0125604551795097e-07
1175.0,1.457193647387252,1.0168877025533335e-07
1180.0000000000002,1.4576285572008034,1.0212149430551905e-07
